step,time,block_x,block_y,block_z,block_vx,block_vy,block_vz,contacts,fx,fy,fz
1000,0.100000,0.000000,24.950901,0.000000,0.000000,-0.981000,0.000000,0,0.0000,0.0000,0.0000
2000,0.200000,0.000000,24.803702,0.000000,0.000000,-1.962000,0.000000,0,0.0000,0.0000,0.0000
3000,0.300000,0.000000,24.558403,0.000000,0.000000,-2.943000,0.000000,0,0.0000,0.0000,0.0000
4000,0.400000,0.000000,24.215004,0.000000,0.000000,-3.924000,0.000000,0,0.0000,0.0000,0.0000
5000,0.500000,0.000000,23.773505,0.000000,0.000000,-4.905000,0.000000,0,0.0000,0.0000,0.0000
6000,0.600000,0.000000,23.233906,0.000000,0.000000,-5.886000,0.000000,0,0.0000,0.0000,0.0000
7000,0.700000,0.000000,22.596207,0.000000,0.000000,-6.867000,0.000000,0,0.0000,0.0000,0.0000
8000,0.800000,0.000000,21.860408,0.000000,0.000000,-7.848000,0.000000,0,0.0000,0.0000,0.0000
9000,0.900000,0.000000,21.026509,0.000000,0.000000,-8.829000,0.000000,0,0.0000,0.0000,0.0000
10000,1.000000,0.000000,20.094509,0.000000,0.000000,-9.810000,0.000000,0,0.0000,0.0000,0.0000
11000,1.100000,0.000000,19.064410,0.000000,0.000000,-10.791000,0.000000,0,0.0000,0.0000,0.0000
12000,1.200000,0.000000,17.936211,0.000000,0.000000,-11.772000,0.000000,0,0.0000,0.0000,0.0000
13000,1.300000,0.000000,16.709912,0.000000,0.000000,-12.753000,0.000000,0,0.0000,0.0000,0.0000
14000,1.400000,0.000000,15.385513,0.000000,0.000000,-13.734000,0.000000,0,0.0000,0.0000,0.0000
15000,1.500000,0.000000,13.963014,0.000000,0.000000,-14.715000,0.000000,0,0.0000,0.0000,0.0000
16000,1.600000,0.000000,12.442415,0.000000,0.000000,-15.696000,0.000000,0,0.0000,0.0000,0.0000
17000,1.700000,0.000000,10.823716,0.000000,0.000000,-16.677000,0.000000,0,0.0000,0.0000,0.0000
18000,1.800000,0.000000,9.106917,0.000000,0.000000,-17.658000,0.000000,0,0.0000,0.0000,0.0000
19000,1.900000,0.000000,7.292018,0.000000,0.000000,-18.639000,0.000000,0,0.0000,0.0000,0.0000
20000,2.000000,0.000000,5.379019,0.000000,0.000000,-19.620000,0.000000,0,0.0000,0.0000,0.0000
21000,2.100000,0.000000,3.367920,0.000000,0.000000,-20.601000,0.000000,0,0.0000,0.0000,0.0000
22000,2.200000,0.000000,1.582250,-0.318379,0.000010,-9.330954,-12.058528,0,0.0000,0.0000,0.0000
23000,2.300000,0.000009,1.194018,-1.720674,0.000157,1.000073,-15.799788,0,0.0000,0.0000,0.0000
24000,2.400000,0.000025,1.244926,-3.300653,0.000157,0.019073,-15.799788,0,0.0000,0.0000,0.0000
25000,2.500000,0.000040,1.197734,-4.880632,0.000157,-0.961927,-15.799788,0,0.0000,0.0000,0.0000
26000,2.600000,0.000056,1.052442,-6.460611,0.000157,-1.942927,-15.799788,0,0.0000,0.0000,0.0000
27000,2.700000,0.000072,0.809050,-8.040590,0.000157,-2.923927,-15.799788,0,0.0000,0.0000,0.0000
28000,2.800000,0.000088,0.467559,-9.620569,0.000157,-3.904927,-15.799788,0,0.0000,0.0000,0.0000
29000,2.900000,0.000103,0.027967,-11.200547,0.000157,-4.885927,-15.799788,0,0.0000,0.0000,0.0000
30000,3.000000,0.000119,-0.509725,-12.780526,0.000157,-5.866927,-15.799788,0,0.0000,0.0000,0.0000
31000,3.100000,0.000135,-1.145517,-14.360505,0.000157,-6.847927,-15.799788,0,0.0000,0.0000,0.0000
32000,3.200000,0.000150,-1.879408,-15.940484,0.000157,-7.828927,-15.799788,0,0.0000,0.0000,0.0000
33000,3.300000,0.000166,-2.711400,-17.520463,0.000157,-8.809927,-15.799788,0,0.0000,0.0000,0.0000
34000,3.400000,0.000182,-3.641492,-19.100442,0.000157,-9.790927,-15.799788,0,0.0000,0.0000,0.0000
35000,3.500000,0.000198,-4.669684,-20.680420,0.000157,-10.771927,-15.799788,0,0.0000,0.0000,0.0000
36000,3.600000,0.000213,-5.795975,-22.260399,0.000157,-11.752927,-15.799788,0,0.0000,0.0000,0.0000
37000,3.700000,0.000229,-7.020367,-23.840378,0.000157,-12.733927,-15.799788,0,0.0000,0.0000,0.0000
38000,3.800000,0.000245,-8.342859,-25.420357,0.000157,-13.714927,-15.799788,0,0.0000,0.0000,0.0000
39000,3.900000,0.000260,-9.763451,-27.000336,0.000157,-14.695927,-15.799788,0,0.0000,0.0000,0.0000
40000,4.000000,0.000276,-11.282143,-28.580315,0.000157,-15.676927,-15.799788,0,0.0000,0.0000,0.0000
41000,4.100000,0.000292,-12.898934,-30.160294,0.000157,-16.657927,-15.799788,0,0.0000,0.0000,0.0000
42000,4.200000,0.000308,-14.613826,-31.740272,0.000157,-17.638927,-15.799788,0,0.0000,0.0000,0.0000
43000,4.300000,0.000323,-16.426818,-33.320251,0.000157,-18.619927,-15.799788,0,0.0000,0.0000,0.0000
44000,4.400000,0.000339,-18.337910,-34.900230,0.000157,-19.600927,-15.799788,0,0.0000,0.0000,0.0000
45000,4.500000,0.000355,-20.347101,-36.480209,0.000157,-20.581927,-15.799788,0,0.0000,0.0000,0.0000
46000,4.600000,0.000370,-22.454393,-38.060188,0.000157,-21.562927,-15.799788,0,0.0000,0.0000,0.0000
47000,4.700000,0.000386,-24.659785,-39.640167,0.000157,-22.543927,-15.799788,0,0.0000,0.0000,0.0000
48000,4.800000,0.000402,-26.963277,-41.220145,0.000157,-23.524927,-15.799788,0,0.0000,0.0000,0.0000
49000,4.900000,0.000418,-29.364868,-42.800124,0.000157,-24.505927,-15.799788,0,0.0000,0.0000,0.0000
50000,5.000000,0.000433,-31.864560,-44.380103,0.000157,-25.486927,-15.799788,0,0.0000,0.0000,0.0000
